"site","Position","n_peaks","shannon","NOSC_med","NOSC_iqr","NOSC_mean","NOSC_p10","NOSC_p90","NOSC_range90","DBE_med","DBE_mean","DBE_iqr","AI_med","AI_iqr","delG_med","delG_iqr","lambda_med","lambda_iqr","Cnum_med","Cnum_iqr","frac_NOSC_pos","frac_NOSC_low","frac_AI_high","DBE_C_ratio_mean","frac_ConHC","frac_Lipid","frac_AminoSugar","frac_Protein","frac_Tannin","frac_UnsatHC","frac_Lignin","frac_Carb","frac_Other","ratio_Protein_Lignin","ratio_Lipid_Carb","ratio_UnsatHC_ConHC","npoc","biomass","respC","ssa_tot","clay","silt","fine","med","coarse"
"0006","M",2179,7.68662133494462,-0.64516129,0.8,-0.573709838458008,-1.266666667,0.2,1.466666667,5,6.64525011473153,5,0.071428571,0.290322581,-9625.73455381489,4674.1711384537,0.0432561024425402,0.0265381331292239,18,7,0.144561725562184,0.233134465351078,0.0908673703533731,0.345925594167528,0.0587425424506654,0.110142267094998,0.0821477742083525,0.319871500688389,0.0422212023864158,0.0481872418540615,0.291877007801744,0.0330426801284993,0.0137677833868747,1.09591194968553,3.33333333333333,0.8203125,0.116606293024892,9.02938377768521,0.0087122823298959,719.2892748,8.9,0,7.8,7.4,75.9
"0006","U",2623,7.87207397986687,-0.615384615,0.861904762,-0.552140125763248,-1.333333333,0.3,1.633333333,6,6.51200914982844,6,0.085714286,0.307692308,-9586.92302374922,4732.88843355221,0.0439633944436677,0.0275399065563461,18,7,0.171559283263439,0.236751810903546,0.0880670987418986,0.348777401110176,0.0629050705299276,0.122760198246283,0.0655737704918033,0.308425467022493,0.0548989706443004,0.0278307281738467,0.319481509721693,0.0285932138772398,0.00953107129241327,0.965393794749403,4.29333333333333,0.442424242424242,0.204448225341557,9.10720996964787,0.126286606724777,224.7596028,9.6,0,15.6,56.2,18.6
"0008","M",1334,7.19593722647557,-0.761904762,0.825396825,-0.667919967631934,-1.428571429,0.1878787876,1.6164502166,5,5.75637181409295,4,0.034482759,0.222222222,-9775.37302374923,3847.47979509851,0.0420322188038833,0.0220587239798288,18,6,0.13568215892054,0.309595202398801,0.0644677661169415,0.306448764484442,0.0464767616191904,0.164917541229385,0.0652173913043478,0.355322338830585,0.047976011994003,0.0134932533733133,0.264617691154423,0.0194902548725637,0.0224887556221889,1.34277620396601,8.46153846153846,0.290322580645161,0.672200983319968,8.44404479591808,0.0282941740428048,745.264965,5.1,0,6.9,9.5,78.5
"0009","U",2677,7.89245204352035,-0.625,0.857142857,-0.53614890603997,-1.285714286,0.363636364,1.64935065,6,7.09899140829287,5,0.066666667,0.3,-10163.7345538149,5260.56921677612,0.0412420686294749,0.0273401718118165,19,9,0.179305192379529,0.224505042958536,0.0903997011580127,0.350049435492751,0.0597683974598431,0.103100485618229,0.0851699663802764,0.305192379529324,0.0672394471423235,0.0466940605155024,0.283152782966007,0.037728800896526,0.0119536794919686,1.0778364116095,2.73267326732673,0.78125,0.262198211071153,9.55509444857832,0.0607370539569886,217.56643845,11.2,1.9,22.1,46.2,18.6
"0010","D",2486,7.81843027207066,-0.705882353,0.836601307,-0.597771197517297,-1.333333333,0.315789474,1.649122807,5,6.91552695092518,6,0.043478261,0.290322581,-10245.9268671044,4891.97978600294,0.0402315169360798,0.0247147289471388,19,7,0.162107803700724,0.271118262268705,0.081657280772325,0.332857582394478,0.0623491552695093,0.109814963797265,0.0768302493966211,0.347546259050684,0.0518905872888174,0.0494770716009654,0.253016894609815,0.0273531777956557,0.0217216411906677,1.37360890302067,4.01470588235294,0.793548387096774,0.239407986817711,9.15228834438306,0.0045635764585169,837.1774176,3.1,0,3.3,4.8,88.8
"0010","M",1605,7.38087903556412,-0.85,0.884210526,-0.711877307370717,-1.5103448274,0.25,1.7603448274,5,6.53831775700935,5,0,0.238095238,-10540.6345538149,4921.33843355226,0.0377386930803288,0.02369551735299,19,8,0.137071651090343,0.372585669781931,0.0909657320872274,0.30756668213777,0.07601246105919,0.18816199376947,0.0585669781931464,0.342679127725857,0.0392523364485981,0.0348909657320872,0.205607476635514,0.0193146417445483,0.0355140186915888,1.66666666666667,9.74193548387097,0.459016393442623,0.458680921139662,9.3541084391474,0.00821443762533042,794.6206512,3.3,0,5.5,7.2,84
"0010","U",1935,7.56786260546388,-0.666666667,0.933823529,-0.571987188452713,-1.333333333,0.321548387,1.65488172,6,7.28268733850129,6,0.090909091,0.325490196,-10258.5307104597,4531.33459019702,0.0406097937208957,0.0234100440961638,19,7,0.18656330749354,0.271317829457364,0.0930232558139535,0.349167746806715,0.0697674418604651,0.116795865633075,0.0563307493540052,0.322480620155039,0.0558139534883721,0.0434108527131783,0.298708010335917,0.0160206718346253,0.020671834625323,1.07958477508651,7.29032258064516,0.622222222222222,0.347163707316995,9.23552844690755,0.0584137786690163,607.55085885,12.4,1.1,17.5,5,64
"0011","D",1717,7.44833386089748,-0.5,1.056653492,-0.451762830576587,-1.333333333,0.470588235,1.803921568,6,6.9557367501456,7,0.142857143,0.36,-9128.97302374922,4142.47306013136,0.0470464163798665,0.027175658803931,18,6,0.253348864298195,0.221898660454281,0.12521840419336,0.383074010331619,0.105416423995341,0.110658124635993,0.0605707629586488,0.27140361094933,0.0745486313337216,0.0192195690157251,0.336051252184042,0.0122306348281887,0.0099009900990099,0.807625649913345,9.04761904761905,0.18232044198895,0.46449772194453,8.37106786227174,0.668533252974742,380.7692718,1.3,27.6,28.9,2.4,39.8
"0011","U",2737,7.91461770904068,-0.555555556,1,-0.475784393279138,-1.333333333,0.444444444,1.777777777,6,7.10303251735477,6,0.111111111,0.333333333,-9654.369180394,4788.87306013134,0.0439803173460448,0.0270907196057688,19,8,0.237851662404092,0.229448301059554,0.115454877603215,0.37202066882629,0.0942637924735111,0.112166605772744,0.061746437705517,0.283156740957252,0.0734380708805261,0.0284983558640848,0.311655096821337,0.0219218122031421,0.0131530873218853,0.908558030480656,5.11666666666667,0.302325581395349,0.353914965150371,8.8109042806687,0.0391852253375235,42.3121692,11.3,3.6,59.5,24.5,1.1
"0012","D",2743,7.9168074909376,-0.571428571,1,-0.450481393689756,-1.2659649126,0.555555556,1.8215204686,6,7.38133430550492,6,0.090909091,0.36,-9880.48839717011,5023.57882516417,0.0431652353915998,0.0271133559871631,19,9,0.248632883703974,0.224936201239519,0.110462996718921,0.36969984459666,0.0973386802770689,0.0936930368209989,0.0820269777615749,0.297849070360919,0.0871308786000729,0.040831206707984,0.256653299307328,0.028800583302953,0.015676266861101,1.16051136363636,3.25316455696202,0.419475655430712,0.268659133834058,8.06069784035361,0.00727131786137831,788.9099577,0,3.4,6.3,6.9,83.4
